start,,,
right,left,lighting led pin,
892.68,3115.5,1,17558373
898.32,3105.83,1,17675376
891.06,3102.61,1,17792322
883.81,3115.5,1,17916216
878.98,3109.06,1,18033292
883.81,3109.06,1,18150306
890.26,3080.05,1,18275623
896.7,3086.5,1,18392306
910.4,3086.5,1,18509342
891.06,3092.94,1,18626357
889.45,3112.28,2,18743292
888.65,3107.45,2,18860411
854,3144.51,2,18977396
842.72,2999.49,2,19094357
836.28,3009.16,2,19211373
829.83,3002.71,2,19328306
833.06,3009.16,2,19445407
841.92,3004.32,2,19562306
845.14,3005.93,2,19689077
851.59,3005.93,2,19806306
847.56,3015.6,2,19930145
839.5,3002.71,2,20047306
854.81,2983.37,2,20164302
858.84,3002.71,2,20281389
849.17,3009.16,2,20398385
850.78,3002.71,2,20515434
853.2,2989.82,2,20632373
850.78,3014.79,2,20749376
855.62,3002.71,2,20866354
858.03,3002.71,2,20983316
857.23,2989.82,1,21100373
857.23,2976.93,1,21217389
872.53,3015.6,1,21334373
907.18,3041.38,1,21451434
915.23,3067.16,1,21575135
928.12,3089.72,1,21692388
918.46,3092.94,1,21809312
915.23,3092.94,1,21933388
915.23,3092.94,1,22050408
909.59,3112.28,1,22167468
903.96,3092.94,1,22284354
957.13,3089.72,1,22401306
897.51,3086.5,1,22518354
915.23,3092.94,1,22635306
899.93,3092.94,1,22752354
892.68,3118.73,1,22869377
903.96,3105.83,1,22986354
913.62,3086.5,1,23103306
907.18,3092.94,1,23220354
899.12,3083.28,1,23337411
902.34,3105.83,0,23454419
896.7,3092.94,0,23571469
895.9,3143.7,0,23688322
892.68,3118.73,0,23805376
898.32,3131.62,0,23929248
889.45,3130,0,24046358
890.26,3118.73,0,24163354
903.96,3105.83,0,24280377
899.12,3131.62,0,24397385
893.48,3138.06,0,24514377
891.06,3118.73,0,24638681
889.45,3131.62,0,24755411
900.73,3150.95,0,24872354
904.76,3118.73,0,24989377
881.4,3144.51,0,25106322
889.45,3138.06,0,25223316
893.48,3159.81,0,25340373
894.29,3144.51,0,25457388
894.29,3157.4,0,25574373
900.73,3144.51,0,25691376
891.06,3169.48,2,25808354
887.04,3163.84,2,25932273
913.62,3170.29,2,26049343
870.92,3067.16,2,26166306
848.36,3034.94,2,26283292
850.78,3004.32,2,26400358
841.11,3022.05,2,26517408
833.06,3015.6,2,26634358
832.25,3005.93,2,26751396
838.7,3013.99,2,26868358
837.89,3018.82,2,26985343
837.89,3015.6,2,27102358
842.72,3013.99,2,27219343
847.56,3013.99,2,27336306
847.56,2996.26,2,27453343
838.7,3030.1,2,27577570
850.78,3030.1,2,27694372
862.87,3034.94,2,27811358
863.67,3028.49,2,27978923
852.39,3041.38,2,28105243
867.7,3026.88,1,28227354
854.81,3022.05,1,28349388
890.26,3054.27,1,28471343
909.59,3063.94,1,28593295
915.23,3109.06,1,28715373
912.01,3115.5,1,28837399
912.82,3112.28,1,28959385
906.37,3118.73,1,29081316
906.37,3121.95,1,29203331
906.37,3150.95,1,29334240
910.4,3141.28,1,29456419
908.79,3150.95,1,29578411
909.59,3144.51,1,29700373
912.01,3123.56,1,29822358
906.37,3104.22,1,29944384
911.21,3131.62,1,30073183
894.29,3131.62,1,30194373
884.62,3141.28,1,30316358
899.12,3131.62,1,30438385
896.7,3118.73,1,30567216
895.09,3160.62,2,30688373
905.57,3131.62,2,30810377
904.76,3149.34,2,30932373
863.67,3102.61,2,31054376
842.72,3034.94,2,31176373
837.89,3031.71,2,31298306
844.34,3022.05,2,31420373
829.03,3015.6,2,31542358
822.58,3022.05,2,31664354
833.06,3015.6,2,31786376
837.89,3022.05,2,31908384
835.47,3015.6,2,32030357
856.42,3028.49,2,32159248
854.81,2996.26,2,32280346
858.84,3002.71,2,32402373
863.67,3002.71,2,32524295
854.81,3002.71,2,32646419
860.45,3012.38,2,32768347
864.48,3002.71,2,32890312
847.56,3009.16,2,33012346
,,,
start,,,
right,left,lighting led pin,
888.65,3133.23,0,0
867.7,3183.18,0,235
876.56,3196.07,0,121653
887.84,3130,0,243683
881.4,3125.17,0,365649
885.42,3134.84,0,487683
878.17,3144.51,0,609598
887.04,3141.28,0,730683
881.4,3142.9,0,852679
883.81,3117.11,0,981513
873.34,3144.51,0,1102609
874.95,3170.29,0,1231992
876.56,3155.79,0,1353680
883.81,3160.62,0,1475683
881.4,3159.81,0,1597609
879.79,3144.51,0,1719695
884.62,3154.17,0,1841661
883.81,3157.4,0,1963664
889.45,3134.84,0,2085680
876.56,3150.95,0,2207695
872.53,3157.4,0,2329661
876.56,3176.73,0,2451695
871.73,3160.62,0,2573661
877.37,3150.95,0,2695706
876.56,3144.51,0,2817619
866.09,3147.73,0,2939683
879.79,3157.4,0,3068451
876.56,3157.4,0,3189641
884.62,3144.51,0,3311649
883.01,3118.73,0,3433664
878.17,3131.62,0,3555661
874.15,3141.28,0,3685899
876.56,3144.51,0,3807680
884.62,3131.62,0,3929653
883.81,3144.51,0,4051661
874.95,3138.06,0,4173653
879.79,3144.51,0,4295619
894.29,3150.95,0,4417642
903.96,3131.62,0,4539661
898.32,3133.23,0,4661653
889.45,3123.56,0,4783661
903.96,3118.73,0,4905653
889.45,3157.4,0,5027714
893.48,3138.06,0,5149683
945.04,3212.18,0,5278567
889.45,3141.28,0,5399683
878.98,3128.39,0,5521609
884.62,3131.62,0,5643706
876.56,3102.61,0,5775342
876.56,3131.62,0,5896683
876.56,3134.84,0,6018661
886.23,3125.17,0,6140664
884.62,3118.73,0,6262661
876.56,3118.73,0,6391633
885.42,3118.73,0,6513650
885.42,3134.84,0,6635683
879.79,3118.73,0,6757609
884.62,3118.73,0,6879741
871.73,3131.62,0,7001691
878.17,3131.62,0,7123729
876.56,3144.51,1,7245714
891.06,3092.94,1,7367729
883.81,3133.23,1,7496691
895.9,3115.5,1,7618718
899.12,3109.06,1,7740660
889.45,3099.39,1,7862741
866.89,3115.5,1,7984680
863.67,3092.94,1,8106740
876.56,3086.5,1,8228749
872.53,3083.28,1,8350683
876.56,3105.83,1,8472737
884.62,3109.06,1,8594664
876.56,3092.94,1,8716726
885.42,3092.94,1,8838653
889.45,3092.94,1,8960714
889.45,3083.28,1,9082665
889.45,3105.83,1,9204609
886.23,3104.22,1,9325729
884.62,3083.28,1,9447649
887.04,3083.28,1,9576602
889.45,3083.28,0,9697679
876.56,3118.73,0,9819718
879.79,3105.83,0,9941691
883.81,3118.73,0,10063741
885.42,3136.45,0,10185661
876.56,3105.83,0,10307729
