start,,,
right,left,lighting led pin,
876.56,3047.83,0,32049625
877.37,3047.83,0,32180624
876.56,3039.77,0,32311606
883.81,3055.88,0,32442624
884.62,3054.27,0,32580139
886.23,3067.16,0,32710605
878.98,3060.72,0,32841595
881.4,3060.72,0,32972605
887.84,3041.38,0,33103606
876.56,3052.66,0,33234605
889.45,3012.38,0,33365595
890.26,3041.38,0,33496605
876.56,3030.1,0,33627595
894.29,3054.27,0,33758605
886.23,3041.38,0,33889595
896.7,3054.27,0,34020605
936.18,3157.4,1,34151606
889.45,3073.61,1,34282606
880.59,3047.02,1,34413595
871.73,3063.94,1,34544605
887.04,3060.72,1,34675595
889.45,3047.83,1,34813151
899.12,3041.38,1,34943625
891.06,3054.27,1,35074624
884.62,3053.47,1,35205637
889.45,3046.22,1,35344183
891.87,3041.38,1,35474625
878.17,3028.49,1,35605624
879.79,3034.94,1,35742808
878.17,3022.05,1,35873624
876.56,3047.02,1,36004625
878.98,3034.94,1,36135624
873.34,3039.77,1,36266637
884.62,3030.1,1,36397624
876.56,3041.38,1,36528625
871.73,3041.38,1,36668498
,,,
start,,,
right,left,lighting led pin,
892.68,3133.23,0,0
889.45,3092.94,0,233
883.81,3080.05,0,131130
876.56,3063.94,0,262100
863.67,3086.5,0,393108
863.67,3057.5,0,524100
871.73,3041.38,0,655108
865.28,3041.38,0,786100
879.79,3038.16,0,917108
882.2,3030.1,0,1048100
880.59,2986.6,0,1179107
876.56,2964.04,0,1310100
887.84,2917.31,0,1441107
866.89,3002.71,0,1572100
873.34,2964.04,0,1703108
876.56,2957.59,0,1834100
855.62,2983.37,0,1965108
876.56,2968.87,0,2096100
866.89,2989.82,0,2227108
885.42,2976.93,0,2364644
876.56,2996.26,0,2495127
870.12,2989.82,0,2626130
865.28,2944.7,0,2757126
876.56,2978.54,0,2888130
867.7,2964.04,0,3019127
852.39,2970.48,0,3150111
862.06,2938.26,0,3289126
857.23,2951.15,0,3420130
856.42,2944.7,0,3551127
858.84,2951.15,0,3682111
866.89,2951.15,0,3813126
858.84,2956.79,0,3944111
863.67,2950.34,0,4075127
858.84,2951.15,0,4206130
863.67,2947.92,0,4337126
